10,1.4371,4.7654
10.1,1.4352,4.7631
10.2,1.4333,4.7608
10.3,1.4316,4.7587
10.4,1.4298,4.7568
10.5,1.4282,4.7549
10.6,1.4266,4.7531
10.7,1.425,4.7514
10.8,1.4235,4.7498
10.9,1.4221,4.7483
11,1.4207,4.7469
11.1,1.4193,4.7456
11.2,1.418,4.7444
11.3,1.4168,4.7432
11.4,1.4156,4.7421
11.5,1.4144,4.7411
11.6,1.4133,4.7401
11.7,1.4122,4.7392
11.8,1.4112,4.7383
11.9,1.4102,4.7375
12,1.4093,4.7367
12.1,1.4083,4.736
12.2,1.4075,4.7353
12.3,1.4066,4.7347
12.4,1.4058,4.7341
12.5,1.405,4.7335
12.6,1.4042,4.733
12.7,1.4035,4.7324
12.8,1.4027,4.732
12.9,1.402,4.7315
13,1.4014,4.7311
13.1,1.4007,4.7307
13.2,1.4001,4.7303
13.3,1.3994,4.73
13.4,1.3988,4.7296
13.5,1.3982,4.7293
13.6,1.3977,4.729
13.7,1.3971,4.7287
13.8,1.3965,4.7285
13.9,1.396,4.7283
14,1.3955,4.728
14.1,1.395,4.7278
14.2,1.3945,4.7277
14.3,1.394,4.7275
14.4,1.3935,4.7273
14.5,1.393,4.7272
14.6,1.3925,4.7271
14.7,1.392,4.7269
14.8,1.3916,4.7269
14.9,1.3911,4.7268
15,1.3907,4.7267
15.1,1.3903,4.7266
15.2,1.3898,4.7266
15.3,1.3894,4.7266
15.4,1.389,4.7266
15.5,1.3886,4.7265
15.6,1.3882,4.7266
15.7,1.3878,4.7266
15.8,1.3874,4.7266
15.9,1.387,4.7266
16,1.3867,4.7267
16.1,1.3863,4.7267
16.2,1.3859,4.7268
16.3,1.3856,4.7269
16.4,1.3852,4.727
16.5,1.3849,4.7271
16.6,1.3846,4.7272
16.7,1.3842,4.7273
16.8,1.3839,4.7274
16.9,1.3836,4.7275
17,1.3833,4.7276
17.1,1.383,4.7277
17.2,1.3827,4.7279
17.3,1.3824,4.728
17.4,1.3821,4.7281
17.5,1.3818,4.7283
17.6,1.3816,4.7284
17.7,1.3813,4.7286
17.8,1.381,4.7287
17.9,1.3807,4.7289
18,1.3805,4.7291
18.1,1.3802,4.7292
18.2,1.38,4.7294
18.3,1.3797,4.7296
18.4,1.3795,4.7297
18.5,1.3792,4.7299
18.6,1.379,4.7301
18.7,1.3787,4.7302
18.8,1.3785,4.7304
18.9,1.3783,4.7306
19,1.378,4.7308
19.1,1.3778,4.7309
19.2,1.3776,4.7311
19.3,1.3773,4.7313
19.4,1.3771,4.7315
19.5,1.3769,4.7316
19.6,1.3766,4.7318
19.7,1.3764,4.732
19.8,1.3762,4.7322
19.9,1.3759,4.7323
20,1.3757,4.7325
20.1,1.3755,4.7327
20.2,1.3752,4.7329
20.3,1.375,4.733
20.4,1.3748,4.7332
20.5,1.3745,4.7334
20.6,1.3743,4.7335
20.7,1.3741,4.7337
20.8,1.3738,4.7338
20.9,1.3736,4.734
21,1.3733,4.7342
21.1,1.3731,4.7343
21.2,1.3728,4.7345
21.3,1.3726,4.7346
21.4,1.3723,4.7348
21.5,1.3721,4.7349
21.6,1.3718,4.7351
21.7,1.3715,4.7352
21.8,1.3712,4.7353
21.9,1.371,4.7354
22,1.3707,4.7356
22.1,1.3704,4.7357
22.2,1.3701,4.7358
22.3,1.3698,4.7359
22.4,1.3695,4.736
22.5,1.3691,4.7361
22.6,1.3688,4.7362
22.7,1.3685,4.7363
22.8,1.3681,4.7364
22.9,1.3677,4.7365
23,1.3674,4.7365
23.1,1.367,4.7366
23.2,1.3666,4.7367
23.3,1.3662,4.7368
23.4,1.3658,4.7369
23.5,1.3654,4.7369
23.6,1.365,4.737
23.7,1.3645,4.7371
23.8,1.3641,4.7372
23.9,1.3636,4.7373
24,1.3631,4.7374
24.1,1.3627,4.7375
24.2,1.3622,4.7376
24.3,1.3617,4.7377
24.4,1.3612,4.7379
24.5,1.3606,4.738
24.6,1.3601,4.7382
24.7,1.3596,4.7383
24.8,1.359,4.7385
24.9,1.3585,4.7388
25,1.3579,4.739
25.1,1.3573,4.7392
25.2,1.3567,4.7395
25.3,1.3561,4.7398
25.4,1.3555,4.7401
25.5,1.3548,4.7405
25.6,1.3542,4.7408
25.7,1.3535,4.7413
25.8,1.3528,4.7417
25.9,1.3521,4.7423
26,1.3513,4.7429
26.1,1.3505,4.7436
26.2,1.3497,4.7444
26.3,1.3489,4.7453
26.4,1.3481,4.7463
26.5,1.3473,4.7475
26.6,1.3464,4.7488
26.7,1.3455,4.7502
26.8,1.3446,4.7519
26.9,1.3437,4.7538
27,1.3427,4.7559
27.1,1.3417,4.7584
27.2,1.3406,4.7613
27.3,1.3394,4.7645
27.4,1.3383,4.7683
27.5,1.337,4.7727
27.6,1.3357,4.7777
27.7,1.3344,4.7837
27.8,1.333,4.7905
27.9,1.3315,4.7986
28,1.33,4.8079
28.1,1.3285,4.8189
28.2,1.3269,4.8318
28.3,1.3253,4.8468
28.4,1.3236,4.8645
28.5,1.322,4.8851
28.6,1.3204,4.9097
28.7,1.3189,4.9385
28.8,1.3175,4.9728
28.9,1.3163,5.0135
29,1.3152,5.0623
29.1,1.3145,5.1211
29.2,1.3142,5.1914
29.3,1.3143,5.2667
29.4,1.315,5.3433
29.5,1.3161,5.4183
29.6,1.3176,5.4916
29.7,1.3195,5.5631
29.8,1.3218,5.6327
29.9,1.3245,5.7005
29.996,1.3276,5.7663
